news_title,Lables,news_date,country,fact_checking_source
 A post on Facebook claims a Nobel Prize-winning Japanese scientist has said the SARS-CoV-2 coronavirus that causes the potentially deadly COVID-19 disease was â€œmanufacturedâ€ by China.,FALSE,4/26/2020, Australia, AAP FactCheck
 Filipina actress Angel Locsin â€œtested positiveâ€ for the coronavirus after conducting several relief operations.,FALSE,4/26/2020, Philippines, Rappler
 This is an image of a suspected coronavirus vaccine causing COVID-19.,FALSE,4/26/2020, Spain, Maldita.es
 A video shows that journalists visited Boris Johnson after he was cured of COVID-19 and returned home. Boris served tea in person.,FALSE,4/26/2020, Taiwan, Taiwan FactCheck Center
 Japanese Nobel laureate Tasuku Honjo announced that coronavirus is man-made.,FALSE,4/26/2020, India, BOOM FactCheck
 Protective masks will be five time more expensive in French tobacconists than in Spanish shops.,FALSE,4/26/2020, France, AFP
 First volunteer in UK coronavirus vaccine trial Elisa Granato has died.,FALSE,4/26/2020, Italy, Open
" Elisa Granato, the first volunteer in the first Europe human trial of a COVID-19 vaccine, has died.",Inaccurate,4/25/2020, United States, Science Feedback
" Brazilâ€™s president, Jair Bolsonaro, turned a clothing pole in Pernambuco, Brazilâ€™s northwest state, in the biggest producer of masks, gloves and surgical gown during COVID-19 pandemic.",FALSE,4/25/2020, Brazil, EstadÃ£o Verifica
 UK dropped Huawei as 5G vendor due to coronavirus fears.,FALSE,4/25/2020, Georgia, Myth Detector
 Media shows a Florida beach full of people while itâ€™s empty.,Partially False,4/25/2020," France, United States", CheckNews
" An image that claims that Pedro SÃ¡nchez, President of Spain, thanked for the applause that the Spanish give him every day at 8 PM in his last speech.",FALSE,4/25/2020, Spain, Maldita.es
 Gargling With Warm Salt Water Can Save From coronavirus.,Fake,3/20/2020, India, Vishvas News
 Romania has changed the law so that those who break the quarantine will face 15 years in prison.,Partially false,3/20/2020, Poland, Demagog
" The Ethiopian Airlines flight from Italy this evening to Addis Ababa airport. Most of the passengers are infected with the virus, and there is no strength except in God.",FALSE,3/20/2020, India, The Quint
 Claim that the outbreak of the virus was caused by 5G.,FALSE,3/20/2020, Lithuania, 15min.lt
" If you see a person wearing a white wristband, leave him alone. He is under quarantine.",Partially false,3/20/2020, Taiwan, Taiwan FactCheck Center
 â€œThe chloroquine stock in Paris hospitals was robbedâ€.,FALSE,3/20/2020, France, CheckNews
 Ibuprofen is not good for possible COVID-19 treatment.,Partially false,3/20/2020, Turkey, Teyit
 Dr. Yavuz Dizdarâ€™s multiple allegations around the COVID-19.,FALSE,3/20/2020, Turkey, Teyit
 Claim that the outbreak of COVID-19 is not real.,FALSE,3/20/2020, Lithuania, 15min.lt
 Hospitals are advising people to wear gloves at petrol pumps.,FALSE,3/20/2020, Ireland, TheJournal.ie
 Janta Curfew in India will help break the chain of transmission.,FALSE,3/20/2020, India, The Quint
 Elderly people who are caught wandering outside in Brazil will have their pensions cancelled by the government.,FALSE,3/20/2020, Brazil, AgÃªncia Lupa
 This graph compares coronavirus deaths with other diseases.,Misleading,3/20/2020, Argentina, Chequeado
 An audio clip suggests that the WHO has advised a lockdown.,FALSE,3/20/2020, India, The Quint
" Photos show Maju Coutinho (a well known Brazilian journalist) walking around in Leblon beach with her boyfriend, even though she is urging people to stay inside during the pandemic.",FALSE,3/20/2020, Brazil, AgÃªncia Lupa
 200 new cases of COVID-19 registered in Lithuania. People are â€œcleansed with bleachâ€ at the Vilnius international airport and are taken to a small tent-town nearby.,FALSE,3/10/2020, Lithuania, 15min.lt
 Hand sanitizer will â€œdo nothing for the coronavirus.â€,FALSE,3/9/2020, USA, FactCheck.org
 The department of civil protection has communicated that since the 16h of march there is the possibilty that will be introduce the bio-containment BSL-4,FALSE,3/10/2020, Italy, Pagella Politica
 Empty supermarket in Madrid after measures announced against coronavirus,FALSE,3/10/2020, Spain, Newtral.es
" Pier Luigi Bersan, Italian Politician said that coronavirus had been in Italy. Would it be possible that coronavirus has been in EU, America and other countries. China is the country to face it and try to deliminate it. However, China became the scapegoat while he is doing well.",FALSE,3/9/2020, Taiwan, Taiwan FactCheck Center
 Thieves in Madrid pretending to be doctors to steal in peopleâ€™s houses,FALSE,3/10/2020, Spain, Newtral.es
 The Ministry of Interior ruled with a public statment that police will check all the people that will exit from their house,FALSE,3/10/2020, Italy, Pagella Politica
 drinking warm water with lemon protects agains the novel coronavirus,FALSE,3/8/2020," Australia, India, South Africa, Ivory Coast", AFP
 photo that purports to show the novel coronavirus,FALSE,3/8/2020, Indonesia, AFP
 drinking warm water with lemon protects agains the novel coronavirus,FALSE,3/8/2020," Australia, India, South Africa, Ivory Coast", AFP
 Photos purporting to show the collapse of a temporary hospital in Wuhan,FALSE,3/7/2020," Morocco, Tunisia, Algeria", AFP
 Secretary of Health in Mexico recommends taking vitamin C to prevent coronavirus,FALSE,3/9/2020, Mexico, Spondeo Media
 Video shows reciting Namaaz and Quran can only be the treatment of pandemic COVID-19.,FALSE,3/9/2020, India, BOOM FactCheck
 UNICEF Advises a certain set of steps to follow for Coronavirus,FALSE,3/9/2020, India, BOOM FactCheck
 Coronavirus was caused by a mysterious vaccine activation distributed in China by chemtrails and activated by 5G,FALSE,3/9/2020, Spain, Maldita.es
 This Lysol desinfectant against coronavirus shows the virus is not new,FALSE,3/9/2020, Spain, Newtral.es
 The bill for a coronavirus test in the US is 3.000$,FALSE,3/9/2020, Spain, Newtral.es
 SARS-CoV-2 can be killed in warmth of 37 degrees Celsius,FALSE,3/9/2020, Lithuania, 15min.lt
 Trump said â€œpeople are dying who have never died beforeâ€.,FALSE,3/19/2020, USA, LeadStories
" Katy Perry, Madonna and Black Sabbath shared videos of Italyâ€™s flash mob with fake audio.",Misleading,3/19/2020, Italy, Pagella Politica
" Cubaâ€™s health ministry, Dr. Hala, has given the vaccine to China.",FALSE,3/19/2020, Spain, Newtral.es
 Coronavirus stays in throat for four days before arriving lungs. Gargling with salt water or vinegar kills coronavirus.,FALSE,3/19/2020, Taiwan, Taiwan FactCheck Center
 Obama family flown to private island to escape coronavirus pandemic.,FALSE,3/19/2020, USA, LeadStories
 Cristiano Ronaldo bought private island to escape coronavirus.,FALSE,3/19/2020, USA, LeadStories
 Cuba has the vaccine against the coronavirus called InterferÃ³n.,FALSE,3/19/2020, Spain, Newtral.es
 A dog in Hong Kong died of COVID-19.,FALSE,3/19/2020, Turkey, Teyit
" The parks of Adra, in Spain, are being fumigated with poison.",FALSE,3/19/2020, Spain, Newtral.es
 Drink water every 15 minutes to avoid cononavirus.,FALSE,3/19/2020, Peru, OjoPÃºblico
 Video shows a balcony party in the Turkish capital Ankara due to quarantine.,FALSE,3/19/2020, Turkey, Teyit
 Walmart closing hundreds of its stores.,FALSE,3/19/2020, USA, LeadStories
 Italians played the Chinese national anthem to thank China. People yelled â€œGrazie Cinaâ€.,FALSE,3/19/2020, Taiwan, Taiwan FactCheck Center
 Remedy recipe,FALSE,3/19/2020, Taiwan, Taiwan FactCheck Center
 Link takes viewers to application for FEMA assistance in the US.,FALSE,3/19/2020, USA, LeadStories
 WHO director overstated COVID-19 fatality rate as more than flu.,FALSE,3/19/2020, USA, LeadStories
 Spaniards are violating quarantine rules.,FALSE,3/19/2020, Argentina, Chequeado
" IDH Hospital, main center in Sri Lanka for treating COVID-19 patients, is in shortage of number of assentials.",FALSE,3/19/2020, Sri Lanka, FactCrescendo
 You no longer need to have contact with someone to get the coronavirus.,FALSE,3/19/2020, Ecuador, Ecuador Chequea
 Korean series My Secret Terrius predicted the outbreak in advance.,FALSE,3/19/2020, Turkey, Teyit
 Chinese claim that the virus was created in 2015 in US.,FALSE,3/19/2020, Croatia, Faktograf
 Coronavirus stays in throat for four days before arriving lungs. Gargling with salt water or vinegar kills coronavirus.,FALSE,3/19/2020, Taiwan, Taiwan FactCheck Center
 The recommendations against coronavirus in the viral WhatsApp audio were made by the owner of Swiss Medical (private health insurence company).,FALSE,3/19/2020, Argentina, Chequeado
" A video shows the Russian leader Vladimir Putin, giving a speech with captions that make him believe he is rebuking world leaders.",FALSE,3/19/2020, Colombia, Colombiacheck
 Walmart closing hundreds of its stores.,FALSE,3/19/2020, USA, LeadStories
 5G technology caused the coronavirus.,FALSE,3/19/2020, USA, LeadStories
" The parks of Adra, in Spain, are being fumigated with poison.",FALSE,3/19/2020, Spain, Newtral.es
" Cubaâ€™s health ministry, Dr. Hala, has given the vaccine to China.",FALSE,3/19/2020, Spain, Newtral.es
 Drink water every 15 minutes to avoid cononavirus.,FALSE,3/19/2020, Peru, OjoPÃºblico
 Video shows how American soldiers spread coronavirus during 7th CISM Military World Game in Wuhan.,FALSE,3/19/2020, Taiwan, Taiwan FactCheck Center
" The coronavirus pandemic can be dramatically slowed, or stopped, with the immediate widespread use of high doses of vitamin C.",Unsupported,2/12/2020, United States, Science Feedback
 â€œBreaking,FALSE,2/11/2020, United States, PolitiFact
 Says the 2019 coronavirus â€œcauses sudden death syndrome.â€,FALSE,2/8/2020, United States, PolitiFact
 Autopsy reveal Wuhan doctor was murdered in his sickbed.,FALSE,2/8/2020, United States, LeadStories
" China seeks court approval to kill over 20,000 coronavirus patients to stop the spread of the outbreak.",FALSE,2/7/2020, United States, LeadStories
 Vitamin C stops or slows novel coronavirus.,FALSE,2/6/2020, United States, LeadStories
 2019 novel coronavirus contains â€œpShuttle-SNâ€ sequence proving laboratory origin.,Inaccurate,2/5/2020, United States, Science Feedback
 Video from China show people fleeing from coronavirus quarantine,FALSE,2/4/2020, United States, LeadStories
 Vitamin C can â€œstopâ€ the new coronavirus.,(Org. doesn't apply rating),2/3/2020, United States, FactCheck.org
 Says â€œthe coronavirus was engineered by scientists in a lab.â€,FALSE,2/3/2020, United States, PolitiFact
 Scientists â€œare shocked to discover that weed kills coronavirusâ€.,Pants on Fire!,2/3/2020, United States, PolitiFact
" Chlorine dioxide kits sold online under various names â€” Miracle Mineral Solution, Miracle Mineral Supplement, Master Mineral Solution â€” will cure coronavirus.",FALSE,2/3/2020, United States, FactCheck.org
 Coronavirus contains â€œHIV insertionsâ€.,Inaccurate,2/3/2020, United States, Science Feedback
 The new coronavirus contains HIV â€œinsertionsâ€ and shows signs of being created in a lab.,FALSE,2/3/2020, United States, FactCheck.org
 The new coronavirus can be cured by drinking one bowl of freshly boiled garlic water.,FALSE,2/3/2020, United States, FactCheck.org
 Interview of HDFC Bank Managing Director Aditya Puri about why india will survive COVID-19 and make it big,FALSE,4/22/2020, India, BOOM FactCheck
 Smokers are less likely to get COVID-19.,FALSE,4/22/2020, Turkey, Teyit
 Claim that the Washington Post revealed that the coronavirus leaked from the Virology Institute of Wuhan.,FALSE,4/22/2020, Colombia, La Silla VacÃ­a
" Mix of jambu, lemon and garlic heal COVID-19.",FALSE,4/22/2020, Brazil, EstadÃ£o Verifica
" Photographs of killer whales allegedly taken in El MÃ©dano, Tenerife during confinement by the coronavirus.",FALSE,4/22/2020, Spain, Maldita.es
 Drinking warm water mixed with salt kills the coronavirus.,FALSE,4/22/2020, Philippines, VERA Files
 A ban on Chinese citizens going to markets in Australia.,FALSE,4/22/2020, India, Newschecker
 Argentina is the country with the most infected health personnel.,FALSE,4/22/2020, Argentina, Chequeado
 Indian economist Raghuram Rajan chaired the IMF webinar on Coronavirus.,FALSE,4/22/2020, India, Vishvas News
 A photograph of a woman hugging her young child before she died of COVID-19 in Italy.,FALSE,4/22/2020, India, BOOM FactCheck
" A video shows an empty hospital. It states that, although Globo said there were already 7 patients at a temporary COVID-19 hospital built in Fortaleza, Brazil, the video proves it is still not working.",FALSE,4/22/2020, Brazil, AgÃªncia Lupa
" Trey Gowdy said, â€œIâ€™m not saying COVID-19 isnâ€™t realâ€¦. But pay attention folks, thereâ€™s much more going on here than what meets the eye.â€",FALSE,4/22/2020, United States, PolitiFact
 Gujarat Police in India has called for civil volunteers in Surat for helping the local force in enforcing lockdown in the city.,FALSE,4/22/2020, India, FactCrescendo
 Chinese masks imported by brazilian Ministry of Health are infected with the new coronavirus.,FALSE,4/22/2020, Brazil, Aos Fatos
 Tunisian researcher speaking in this video found a cure against COVID-19.,FALSE,4/22/2020, Tunisia, AFP
" The Government of Mexico City will give $ 1,000 weekly if you stay at home.",Satira,4/4/2020, Mexico, Animal PolÃ­tico
 Trumpâ€™s statement saying that lupus patients are not vulnerable to COVID is not true.,FALSE,4/4/2020, United States, LeadStories
 A video that shows the dead bodies being taken away in a convoy of cars is from a hospital in Iran.,misplaced context,4/4/2020, India, Newschecker
" Federal deputy (equivalent to Federal representative in Brazil) Osmar Terra claims that, in Italy, lockdown policies made COVID-19 cases shot up.",FALSE,4/4/2020, Brazil, AgÃªncia Lupa
 A video shows man claiming to be of Tablighi Jamaat (a Muslim group) spitting on police when they were putting him into quarantine.,FALSE,4/4/2020, India, FactCrescendo
 A Whatsapp forward claiming all calls will be recorded by the Indian government..,FALSE,4/4/2020, India, FactCrescendo
 Image showing Indian Political party (DMK) workers demonstrating with Go Corona Back balloon.,FALSE,4/4/2020, India, FactCrescendo
 Alkaline diet could prevent COVID-19.,FALSE,4/4/2020, Venezuela, Efecto Cocuyo
 Betadine antiseptic cures the first symptomes of COVID19 when used as a gargling.,FALSE,4/4/2020," Middle East, North Africa", Fatabyyano
 A video showing a playful deer on the beach is claimed to be from an Indian village during a lockdown.,FALSE,4/4/2020, India, FactCrescendo
 Video of a man who committed suicide in US due to COVID-19,FALSE,4/4/2020, India, FactCrescendo
 A viral video apparently showing Muslim devotees sneezing is circulated with the claim that it is from Nizamuddin mosque of Delhi and they are deliberately trying to get infected in order to spread coronavirus in India.,FALSE,4/4/2020, India, FactCrescendo
" After revision, SÃ£o Paulo state registers only 26 deaths by COVID-19.",FALSE,4/4/2020, Brazil, Aos Fatos
 Multiple posts on Facebook and Twitter claim the World Health Organization (WHO) has warned against eating cabbage during the novel coronavirus pandemic.,FALSE,4/3/2020, India, AFP
 Multiple Facebook and Twitter posts shared thousands of times by Australian social media users claim that people with pre-existing respiratory conditions will be given a â€œrescue packâ€ of medication from their general practitioners during the novel coronavirus pandemic.,FALSE,4/3/2020, Australia, AFP
 UNICEF releases coronavirus prevention guidelines,FALSE,3/4/2020," Sri Lanka, India, Malaysia, Phillippines", AFP
 Does France underestimate the outbreak ?,Misleading,3/5/2020, France, franceinfo
 CDC recommends men shave their beards to protect against coronavirus.,FALSE,3/3/2020, Spain, Newtral.es
 Multiple allegations on how to protect oneself from CoV,Partly False,3/3/2020, Sri Lanka, AFP
 Russia said CoV is man-made,Misleading,3/3/2020, Hong Kong, AFP
 A health expert surmised that the SARS-Cov2 virus might not spread in Nigeria due to hot temperature.,Insufficient,3/3/2020, Nigeria, Dubawa
 Corona virus can be transmitted through imported goods,FALSE,3/3/2020, Indonesia, TEMPO
 Chinese official detainted a CoV case,FALSE,3/3/2020, Hong Kong, AFP
 Man in hospital after eating bat,Misleading,3/3/2020, Singapore, AFP
 A Nigerian taxidriver thereatens to spread Cov,FALSE,3/3/2020, Nigeria, AFP
 A health expert surmised that the SARS-Cov2 virus might not spread in Nigeria due to hot temperature.,Insufficient,3/3/2020, Nigeria, Dubawa
 Japan  Asahi Shimbun TV reported that CDC USA admitted US got COVID-19 early than Wuhan,FALSE,3/3/2020, Taiwan, Taiwan FactCheck Center
 Vitamin C and warm water with lemon are effective ways of preventing Covid-19,FALSE,3/4/2020, Brazil, AgÃªncia Lupa
 Ads selling masks protecting against CoV,Misleading,3/3/2020, USA, AFP
 You canâ€™t get inffected by kissing the hands of a virgin or saint statue,FALSE,3/3/2020, Spain, Maldita.es
 Pope Francis and his 2 aids have infected with COVID-19.,FALSE,3/3/2020, Taiwan, Taiwan FactCheck Center
 The government â€” or specific states such as Michigan or Florida â€” has mandated that employers and schools close for two weeks.,FALSE,3/3/2020, USA, FactCheck.org
 Pope Francis and his 2 aides have infected with COVID-19.,FALSE,3/3/2020, USA, FactCheck.org
 Egyptian doctor has invented a fluid to treat coronavirus.,FALSE,3/18/2020, Venezuela, Efecto Cocuyo
 A graphic has been shared in multiple posts on Facebook alongside a claim it contains a quote from Philippine Vice President Leni Robredo that bats are the â€œenemyâ€ in the novel coronavirus pandemic.,FALSE,3/17/2020, Philippines, AFP
 5000 million Rupees fund allocated by Telangana CM KCR for coronavirus prevention is entirely funded by Central Government.,FALSE,3/17/2020, India, Factly
 Oman is releasing pesticides in the air through helicopters to eliminate coronavirus.,FALSE,3/17/2020, India, Factly
 Drinking water every 15 mins will protect people from coronavirus.,FALSE,3/17/2020, India, Factly
 Tips for the new coronavirus,FALSE,3/17/2020, Colombia, La Silla VacÃ­a
 Chine finds a vaccine for the new coronavirus.,FALSE,3/17/2020, Colombia, La Silla VacÃ­a
" After husband tested positive for coronavirus, wife fled from Bangalore to Agra in India.",FALSE,3/17/2020, India, Factly
 Gargling with lukewarm water mixed with salt/vinegar will remove coronavirus.,FALSE,3/17/2020, India, Factly
 A dog vaccine can be used against coronavirus in people.,FALSE,3/17/2020, USA, LeadStories
 Video of Police in China taking into control suspected COVID-19 patients in the country.,FALSE,3/17/2020, India, Factly
 Thailand CDC announces green chiretta can cure coronavirus.,FALSE,3/17/2020, Myanmar, FactCrescendo
 Video of American President Donald Trump announcing that Roche Medical Company will launch the vaccine for COVID-19 next Sunday.,FALSE,3/17/2020, India, Factly
 Eating bananas prevents coronavirus.,FALSE,3/17/2020, USA, LeadStories
 15 minutes in a sauna will kill the coronavirus.,FALSE,3/17/2020, USA, LeadStories
 a runny nose and sputum secretion are not symptoms of novel coronavirus,FALSE,3/2/2020, Philippines, AFP
" People queing outside an ALDI supermarket in Germany, to buy food in fear of Cov",FALSE,3/3/2020, France, AFP
 Israeli scientists have developed a Covid-19 vaccine,FALSE,3/2/2020, Sri Lanka, AFP
 Papa has covid-19,FALSE,3/2/2020, Turkey, Teyit
 Whatsapp message contains multiple health advises,FALSE,3/2/2020, Turkey, Teyit
" Outbreak of COVID-19 is a worldwide fake, fatality rate too low for an epidemic, WHO admitted causing SARS outbreak in 2003",Misleading,3/2/2020, Lithuania, 15min.lt
 Video shows Wuhan residents lining up for death certificates,FALSE,3/3/2020, China, AFP
 Twitter users said Adutwumwaa Bitters cures coronavirus.,FALSE,3/2/2020, Ghana, Dubawa
 Viral picture message suggests Obasanjo said that there is no coronavirus in Nigeria and that the mister of health lied.,FALSE,3/2/2020, Nigeria, Dubawa
 Eating bananas prevents coronavirus.,FALSE,3/17/2020, USA, LeadStories
 Police have â€œfree entry into houses and buildingsâ€ in Malaga to identify possible coronavirus infected people.,FALSE,3/17/2020, Spain, Newtral.es
 Spanish politician Ortega Smith said â€œI prefer to get the covid-19 than being gayâ€.,FALSE,3/17/2020, Spain, Newtral.es
" Javier Orthega Smith, from VOX, said that he prefers to have coronavirus than have â€œhomosexualismâ€.",FALSE,3/17/2020, Spain, Newtral.es
 Chine finds a vaccine for the new coronavirus.,FALSE,3/17/2020, Colombia, La Silla VacÃ­a
 NiÃ±o JesÃºs hospital has been left without COVID-19 to care for children and young people in Madrid.,FALSE,3/17/2020, Spain, Newtral.es
 A dog vaccine can be used against coronavirus in people.,FALSE,3/17/2020, USA, LeadStories
 Police asked shops selling alcohol to restrict opening hours on St Patrickâ€™s Day to lower the risk of house parties where coronavirus could be spread.,Misleading,3/17/2020, Ireland, TheJournal.ie
 Here are the measures that Mercadona will implement due to the coronavirus crisis.,FALSE,3/17/2020, Spain, Newtral.es
 Cristiano Ronaldo donated his hotel to be turned into an hospital.,FALSE,3/17/2020, Turkey, Teyit
 Oman is releasing pesticides in the air through helicopters to eliminate coronavirus.,FALSE,3/17/2020, India, Factly
 They discovered that a whole floor of the main Peruvian hospital is infected with COVID-19 and the decided to close the place.,FALSE,3/17/2020, Peru, OjoPÃºblico
 There is a study that establishes the relationship between ibuprofen and the severity of the virus infection. . . apparently what Ibuprofen does is facilitate the reproduction of the virus.,Partially false,3/17/2020, Colombia, Colombiacheck
 â€œ17 at 6,FALSE,3/17/2020, Colombia, Colombiacheck
 Medical University in Vienna has published a study regarding ibuprofen and coronavirus.,FALSE,3/17/2020, Poland, Demagog
 Governors across U.S. are announcing that the current school year will be repeated due to coronavirus school closings.,FALSE,4/3/2020, United States, FactCheck.org
" WHO reported that coronavirus lasts upto 8 hours on cabbages thus, cabbage consumption should be restricted.",FALSE,4/3/2020, India, FactCrescendo
 Italian Prime Minister Giuseppe Conte broke down amid COVID-19 deaths in his country.,FALSE,4/3/2020, India, FactCrescendo
 Hydroxychloroquine and Azithromycin are a cure for COVID-19.,Unproven,4/3/2020, Colombia, La Silla VacÃ­a
 The video shows Muslims licking plates and spoons to spread the coronavirus.,FALSE,4/3/2020, India, Factly
 A video of a man committing suicide by jumping from a hotel in Italy as his entire family died due to coronavirus.,FALSE,4/3/2020, India, Factly
 Indian state of Madhya Pradeshâ€™s Goverement have issued order of shoot at sight due to failure at lockdown implementation.,FALSE,4/3/2020, India, FactCrescendo
 Photo of a vaccine developed by US scientists for COVID-19.,FALSE,4/3/2020, India, Factly
 Photo of Deer on Ooty-Coimbatore road during the current lockdown (COVID-19).,FALSE,4/3/2020, India, Factly
 Rubbing mustard oil on your nostrils can prevent coronavirus.,FALSE,4/3/2020, India, FactCrescendo
 â€œMainstream mediaâ€ used photo from 2017 movie as an image from Italyâ€™s coronavirus morgue.,FALSE,4/3/2020, United States, FactCheck.org
 PM Modi on 2nd April â€™20 announced extension of nationwide lockdown till 4 May 2020.,FALSE,4/3/2020, India, FactCrescendo
 Recent photo of PM Modi visiting a Church and offering prayers to save the country from the coronavirus outbreak.,FALSE,4/3/2020, India, Factly
" Indian Army has built a 1,000-bed hospital in Rajasthan in eight days for the treatment of COVID-19.",FALSE,4/3/2020, India, Factly
 Video of Muslims gathered on roads despite the curfew to curb the spread of coronavirus.,FALSE,4/3/2020, India, Factly
" A photo showing two military vehicles transported by a truck on the highway, near Paris, to be used for the French populationâ€™s confinement.",FALSE,3/16/2020, France, AFP
" A legal decree in France, published on March 15th, sets the ground for the use of the army in the fight against the novel coronavirus.",FALSE,3/16/2020, France, AFP
 President Donald Trump in the next 48 to 72 hours will impose a nationwide â€œmandatory quarantine.â€,FALSE,3/16/2020, USA, FactCheck.org
" Coronavirus pneumonia is similar to a dry cough & Hot Weather, Garlic And Hot Water Are Remedies for COVID-19.",FALSE,3/16/2020, Sri Lanka, FactCrescendo
 Claims Of Cures For COVID-19 From Multiple Countries.,Partially false,3/16/2020, Sri Lanka, FactCrescendo
" On March 16th, Macron has already announced quarantine for every cities in France and will announce later during the day the passage to â€œstage 4â€ of the epidemic.",FALSE,3/16/2020, France, AFP
" A video viewed tens of thousands of times on Facebook and YouTube purports to show billionaire businessman Jack Ma praising Chinaâ€™s response to the outbreak of the novel coronavirus, COVID-19.",FALSE,3/16/2020, Hong Kong, AFP
 Gargling water with salt or vinegar â€œeliminatesâ€ the coronavirus.,FALSE,3/16/2020, USA, FactCheck.org
 Ibuprofen worsen coronavirus infection.,FALSE,3/16/2020, Venezuela, Efecto Cocuyo
 Saline water kills the new coronavirus.,FALSE,3/16/2020, Colombia, La Silla VacÃ­a
 All baby formula providers are shipping formula for free during coronavirus outbreak.,Misleading,3/16/2020, USA, LeadStories
 Coronavirus Outbreak Prompted Gun And Ammunition Policy Changes At Walmart.,Old policy,3/16/2020, USA, LeadStories
 New virus stays at the throat level for four days.,FALSE,3/16/2020, Turkey, Teyit
 Turmeric And Lemon Help Fight Against coronavirus.,FALSE,3/16/2020, India, Vishvas News
 Irene Montero is caughing on someone during the 8M women protest.,FALSE,3/16/2020, Spain, Newtral.es
