,0
15,['Coronavirus found in Paris sewage points to early warning system']['Rising levels of SARS-CoV-2 detected in wastewater before corresponding spike in clinical cases.']
16,"['Expert: ‘I\'ve never seen a more rigorous chase for any vaccine’']['Jon Cohen, a staff writer for Science Magazine, tells Lawrence O\'Donnell the race to develop a COVID-19 vaccine is ""more rigorous"" than any chase for a ...']"
17,"['States shouldn\'t reopen before May 1, and most should wait several more weeks, coronavirus model shows']['With a handful of states reopening parts of their economies, a coronavirus model routinely cited by the White House warns that no state should be opening ...']"
18,"['A Top Immunologist on Why Coronavirus Is Killing More African-Americans']['James Hildreth, who leads one of the nation\'s largest historically black medical schools, is drawing on his experience fighting HIV/AIDS as he works to mitigate ...']"
19,"['A bull\'s-eye from 24 feet? COVID-19 vaccine timelines are overly hopeful, analyst says']['Americans have been told daily—by politicians, by experts, by the media—that researchers are urgently working on COVID-19 vaccines, and that one might be ...']"
20,"['Don’t bet on vaccine to protect us from Covid-19, says world health expert']['Humanity will have to live with the threat of coronavirus “for the foreseeable future” and adapt accordingly because there is no guarantee that a vaccine can be ...']"
21,"['Coronavirus in Texas: Jail population shrunk by more than 10,000']['Our staff is closely tracking developments on the new coronavirus in Texas. Check here for live updates.']"
22,"['Coronavirus cure: When will we have a drug to treat it?']['More than 150,000 people have died with Covid-19, but there are still no drugs proven to help doctors treat the disease. So how far are we from these life-saving ...']"
23,"['Coronavirus live updates: Harvard will not accept stimulus funds, California to start scheduling certain surgeries again']['Covid-19 has infected more than 2.6 million people around the world as of Wednesday, killing at least 180784 people.']"
24,['Did Japan miss its chance to keep the coronavirus in check?']['The state of emergency has no teeth and critics say it came too late.']
25,"['Adding A Nylon Stocking Layer Could Boost Protection From Cloth Masks, Study Finds']['Scientists who tested a variety of cloth face masks found that a nylon overlay significantly boosted how well they work. Researchers not involved in the study ...']"
26,['Fears of prolonged coronavirus downturn and second wave of US cases']['Business chiefs expect lengthy period before recovery as CDC chief warns of worse to come during US winter.']
27,"['Would We Have Already Had a COVID-19 Vaccine Under Socialism?']['“Socialism is not a viable solution,” JPMorgan Chase CEO Jamie Dimon declared in his 2018 letter to shareholders. “There is no question that capitalism has ...']"
28,"['Could genetics explain why some COVID-19 patients fare worse than others?']['Certain genetic differences might separate people who fall severely ill with COVID-19 from those who contract the infection but hardly develop a cough, a new ...']"
29,"['Why could it take years to develop a coronavirus vaccine?']['As cases of COVID-19 continue to mount across the country, Americans are eager to know when a vaccine for the new disease will be available. Seventy...']"
30,"['\'Tuskegee always looms in our minds\': Some fear black Americans, hardest hit by coronavirus, may not get vaccine']['African Americans have historically faced discrimination in health care. Some fear they\'ll be reluctant to get the coronavirus vaccine.']"
31,"['Live updates: Deaths suggest coronavirus was spreading in U.S. earlier than previously thought; CDC director warns of devastating second wave']['U.S. coronavirus cases surpassed 800000, with 45000 reported covid-19 deaths. More than 2.5 million infections have been confirmed and reported worldwide.']"
32,[][]
33,"['Gaithersburg Lab One Step Closer to Potential COVID-19 Vaccine']['A local bio-technology company has found a coronavirus vaccine candidate, and the first in-human trial is expected to begin in May. Novavax, which is located in ...']"
34,"['A mysterious blood-clotting complication is killing coronavirus patients']['Once thought to be a relatively straightforward respiratory virus, covid-19 is proving to be much more complex and frightening.']"
35,"['Cooper reacts to mayor\'s \'China\' remark: Wow, that\'s really ignorant']['CNN\'s Anderson Cooper speaks with Las Vegas Mayor Carolyn Goodman about the decision to reopen casinos in her city amid the coronavirus outbreak.']"
36,"['Coronavirus saliva tests could be as accurate or better than nasal swabs, Yale researchers say']['A new study found that testing saliva for coronavirus infections gives results that are at least as accurate as nasal swabs, which currently are much more ...']"
37,['The Next Year (or Two) of the Pandemic']['Immunity passports. Stop-start lockdowns. Strategic self-infection. This is what our new normal might look like.']
38,['Gainesville biotech company to develop COVID-19 vaccine']['A biotech company may have the solution to preventing the spread of the COVID-19 and they\'re making their headquarters right here in Gainesville. Noachis ...']
39,['The stock market is rising on hope for a pharma solution to coronavirus — here\'s how close we are']['Investors say the speed at which the nation\'s biggest health-care companies can make a COVID-19 cure and get Americans back to work is key.']
40,"['Coronavirus spread helped by Sean Hannity’s Fox show, a new study finds', 'Study finds people who watched Sean Hannity were more likely to die from COVID-19', 'Fox News Executive Tries To Rein In Stars As They Cheer On Anti-Lockdown Rallies']['Sophisticated new research links Hannity\'s coronavirus misinformation to ""a greater number of Covid-19 cases and deaths.""', 'Anew study from the University of Chicago\'s Becker Friedman Institute for Economics found that “greater viewership of \'Hannity\' relative to \'Tucker Carlson ...', 'Fox News stars have championed protests against governors who have ordered shutdowns to contain the pandemic. A top Fox executive ordered hosts to ...']"
41,"['‘We will not have a vaccine by next winter.’ CDC says second wave of coronavirus could be worse. Why the second wave of 1918 Spanish flu was so devastating', 'Coronavirus lingered in a woman\'s eyes long after it cleared from her nose', 'COVID-19: Hand sanitizers inactivate novel coronavirus, study finds', 'How SARS-CoV-2 gets into respiratory tissue—and how it may exploit one of our defenses', 'This HIV/AIDS Specialist Explains Its Similarities — And Differences — To COVID-19']['\'The four seasonal coronaviruses do not seem to induce long-term immunity,\' said Gregory Poland, who studies the immunogenetics of vaccines at the Mayo ...', 'Italy\'s first confirmed COVID-19 patient had detectable levels of infectious viral particles in her eyes, long after the infection had cleared from her nose, according ...', 'Tests have confirmed that two hand sanitizer formulations recommended by the World Health Organization (WHO) inactivate the virus that causes coronavirus ...', 'What makes SARS-CoV-2, the virus behind COVID-19, such a threat? A new study, led by Jose Ordovas-Montanes, Ph.D. at Boston Children\'s Hospital and Alex ...', 'Few viruses have instilled as much fear as HIV. But the COVID-19 pandemic has rivaled that level of fear as researchers race to find a vaccine for SARS-CoV-2.']"
42,"['Director of key US vaccine agency leaves role suddenly amid coronavirus', 'Director of key Trump administration vaccine agency suddenly departs', 'Director of agency behind vaccine development leaves role | TheHill', 'UPDATE 1-US replaces director of agency overseeing COVID-19 vaccines, drugs', 'Director of US agency key to vaccine development leaves role suddenly']['Rick Bright, one of the nation\'s leading vaccine development experts and the director of BARDA, is no longer leading the organization, officials told STAT.', 'The director of the agency responsible for leading the charge on the production and purchase of vaccines in the Trump administration is no longer leading the ...', 'The director of the federal agency that invests in vaccines, drugs and diagnostics to combat infectious diseases has departed.', 'HEALTH-CORONAVIRUS/USA-BARDA (UPDATE 1):UPDATE 1-U.S. replaces director of agency overseeing COVID-19 vaccines, drugs.', 'The shakeup at the agency, known as BARDA, couldn\'t come at a more inopportune time for the office, which invests in drugs, devices, and other technologies ...']"
43,"['Oxford University coronavirus vaccine to begin human trials on Thursday as U.K. ‘throws everything’ at vital breakthrough', 'U.K. Plans Large-Scale Virus Tracing in Weeks to Tackle Outbreak', 'London coronavirus: Londoners can get paid £625 to help Imperial College find a coronavirus vaccine']['A coronavirus vaccine being developed by Oxford University will begin human trials as early as this Thursday, according to U.K. health secretary Matt Hancock.', 'The U.K. is planning widespread tracing of coronavirus patients and the people they meet as part of its exit strategy from nationwide lockdown, according to ...', 'You must live in specific areas of London to participate.']"
44,"['Are Bill Gates and the ID2020 Coalition Using COVID-19 To Build Global Surveillance State?', 'Nearly 25,000 email addresses and passwords allegedly from NIH, WHO, Gates Foundation and others are dumped online', 'Thousands of emails, passwords stolen from NIH, WHO, CDC, Gates Foundation', 'Researchers: Neo-Nazis get hold of 20,000 leaked credentials from WHO, Gates Foundation - Business Insider', 'Logins of WHO, Gates Foundation employees circulate on fringes of the internet']['Conspiracy theorists misrepresent Bill Gates\' funding of vaccination and digital-identity research as evidence of a nefarious global surveillance plan foretold in ...', 'Thousands of alleged email addresses and passwords linked to prominent organizations battling the coronavirus pandemic have been dumped on the Internet, ...', 'Nearly 25000 email addresses and passwords belonging to members of the World Health Organization, the National Institutes of Health, the Bill &amp; Melinda ...', 'Right-wing activists got hold of a leaked list of more than 20,000 email and password credentials thought to belong to key frontline coronavirus organizations ...', 'Purported login information belonging to medical researchers and nonprofit employees working to address the coronavirus outbreak is circulating online among ...']"
45,"['Will Johnson &amp; Johnson\'s Coronavirus Vaccine Dominate the Market?', 'I’m Working 14-Hour Days To Develop The Coronavirus Vaccine']['There are many potential coronavirus vaccines out there. Will this one reign supreme?', 'Hanneke Schuitemaker is working day and night to develop a coronavirus vaccine. ""We have no time to lose,"" she says.']"
46,"['Germany approves Covid-19 vaccine trial', 'Germany approves trials of COVID-19 vaccine candidate', 'Germany, UK approve human trials for coronavirus vaccine']['The German biotech company BioNTech will become the first European business to proceed with clinical trials of a Covid-19 vaccine, after receiving regulatory ...', 'Germany gave the green light for human trials of potential coronavirus vaccines developed by German biotech company BioNTech, which is racing teams in ...', 'Germany and the United Kingdom are forging ahead with plans for clinical trials using human volunteers in the race for a vaccine against COVID-19, according ...']"
47,"['2 Californians died of coronavirus weeks before previously known 1st US death', 'Autopsies find first US coronavirus death occurred in early February, weeks earlier than previously thought', 'Santa Clara County: basic income pilot, Civic Center homeless housing plans move forward', 'How close are we to herd immunity?', 'Have Fatality Numbers From New York Already Debunked the Santa Clara Serology Study?']['New autopsy results show coronavirus killed two Californians in early and mid-February -- before the previously understood first US death from the virus.', 'Tissue samples from people who died in Santa Clara County, Calif., tested positive for the virus, local officials said. The nation\'s first confirmed deaths were ...', 'A wide range of residents — from business and nonprofit leaders to aged-out foster youth and property owners — could benefit from Santa Clara County Board ...', 'As the first American states begin to experiment with reopening parts of their economy, many (perhaps most) Americans are worried that we\'re moving too fast.', 'Since the first reports in January of a novel coronavirus spreading out of control in China, people around the globe have been trying to figure out just how…']"
48,"['Director of key federal vaccine agency says his departure was retaliation', 'UPDATE: Top US vaccine expert says he was ‘forced out’ of federal agency', 'Vaccine expert removed from federal post after daring to criticize coronavirus treatment pushed by Trump: report', 'HHS ousts vaccine expert as Covid-19 threat grows', 'Doctor says he was removed from federal post after opposing funding for unproven drugs | TheHill']['The director of the office involved in developing a coronavirus vaccine says he was abruptly dismissed from his post in part because he resisted efforts to widen ...', 'One of the nation\'s top vaccine development experts said he was “forced out” of a federal agency, according to New York Times reporter Maggie Haberman.', 'One of the nation\'s leading vaccine researchers left his role as the director of the federal Biomedical Advanced Research and Development Authority, it was ...', 'The abrupt ouster of a top vaccine expert at HHS has split officials who see it as either a boon for the nation\'s Covid-19 response or the latest indication of a ...', 'The former head of the federal office that will be at the forefront of developing a cure for COVID-19 said he was forced out after he prioritized science instead of ...']"
49,"['Coronavirus updates: Pandemic won\'t be over \'anytime soon,\' Cuomo says', '\'We must do the impossible\': Cuomo says Michael Bloomberg will fund $10M coronavirus tracking program', 'Test, trace, isolate the three keys to opening economy back up, Cuomo says', '\'This is no time to act stupidly\': Governor insists New York will not rush to reopen']['A global pandemic of the novel coronavirus has now killed more than 182,000 people worldwide. Over 2.6 million people across the globe have been ...', 'Gov. Cuomo announced Wednesday that Michael Bloomberg will fund a pilot program to test and trace coronavirus infection rates as the daily death rate dipped ...', 'ALBANY, N.Y. (WSYR-TV) — During his daily coronavirus briefing on Wednesday, Governor Andrew Cuomo said the three keys to opening up the economy is ...', 'Governor Andrew Cuomo says that New York will not rush to reopen, and will only do so based on facts and not political pressure. ""We make a bad move, ...']"
50,"['Covid-19 Vaccine Expectations May Be Getting Ahead of Science', 'Coronavirus vaccine expectations may be getting ahead of science']['A recovering U.S. stock market may be pricing in too much optimism over the near-term potential of a vaccine to prevent the spread of the novel coronavirus.', 'NEW YORK : A recovering US stock market may be pricing in too much optimism over the near-term potential of a vaccine to prevent the spread of the novel ...']"
51,"['Block COVID-19 from infecting humans? University of Louisville touts a ‘breakthrough’', 'UofL breakthrough technology shows promise fighting novel coronavirus', 'Do we have to be nice to UofL if it stops COVID-19?', 'U of L researchers develop promising tech that could block COVID-19 infection', 'University of Louisville researchers\' technology could block the coronavirus from infecting human cells']['This article has Unlimited Access. For more coverage, sign up for our daily coronavirus newsletter. To support our commitment to public *service* journalism: ...', 'University of Louisville researchers have developed a technology that is believed to block the novel coronavirus SARS-CoV-2 from infecting human cells.', 'The University of Louisville believes it created a technology to block the coronavirus from impacting human cells. The story goes: “The technology is based on a ...', 'LOUISVILLE, Ky. (WDRB) -- Researchers at the University of Louisville say they have developed new technology that could stop COVID-19 from infecting human ...', 'Researchers at the University of Louisville have joined the coronavirus treatment and prevention fray, announcing Wednesday they believe a technology they ...']"
52,"['California coronavirus tests to cover some asymptomatic people', 'California reports highest one-day rise in coronavirus cases | TheHill', 'California shutdown to continue, coronavirus testing to increase', 'Newsom\'s coronavirus contract needs legislative oversight', 'If Gavin Newsom Cancels Football Season, Will It Give Trump A Clear Shot at Reelection?']['California public health officials have partially lifted restrictions on who should receive tests for the coronavirus, recommending for the first time that ...', 'California reported 2318 new coronavirus cases Monday, marking the highest one-day jump the state has seen.', 'California Gov. Gavin Newsom announces efforts to expand coronavirus testing as a key factor in determining when to ease stay-at-home orders.', 'Gov. Gavin Newsom announced a $1 billion coronavirus mask deal on the Rachel Maddow Show, but he won\'t show it to the California State Legislature.', 'Trump vs. Fauci may just end up being an undercard bout in comparison to the emerging main event between California Governor Gavin Newsom vs.']"
53,"['Sweden resisted a lockdown, and its capital Stockholm is expected to reach \'herd immunity\' in weeks', 'What life is really like in Sweden amid the coronavirus pandemic: Reporter\'s notebook', 'Sweden Health Agency Withdraws Controversial Coronavirus Report', 'Opinion: An American perspective on the Swedish coronavirus strategy', 'Sweden eyes benefits of spurning lockdown in the face of pandemic']['Sweden went against the grain by keeping public life as unrestricted as possible when the coronavirus hit. Now, it says its strategy appears to be working.', 'It does seem that much of what has been reported in the foreign press misrepresents or over simplifies the situation in Sweden. With new numbers now ...', 'The Swedish Public Health Agency made international headlines yesterday by estimating that one-third of Stockholm residents would be infected with the ...', 'How do we measure the human and social costs of our countries\' coronavirus strategies, ask Stockholm-based researchers Andrea M Voyer and Jason J ...', 'STOCKHOLM (Reuters) - While much of Europe remained in lockdown, students played table tennis and made weekend plans at Kunskapsskolan, one of many ...']"
54,"['Is a COVID-19 vaccine possible? ‘Some viruses are very, very difficult,’ expert says', 'PPD unit launches patient-transfer trial program to help ease pandemic cancellations', 'Africa must make sure it\'s part of the search for a coronavirus vaccine']['This article has Unlimited Access. For more coverage, sign up for our daily coronavirus newsletter. To support our commitment to public *service* journalism: ...', 'PPD\'s trial network unit Accelerated Enrollment Solutions (AES) is rolling out a new program designed to help biopharmas keep their clinical trials going.', 'The search for a COVID-19 vaccine has sparked international media controversy and negative sentiment around the potential harm of people taking part in ...']"
55,"['People are dying of coronavirus because we\'re too slow at clinical research', 'Experimental anti-viral drug Remdesivir used to treat COVID-19 patients']['Our inability to start and run clinical trials faster — whether in a pandemic or not — is a legacy of our decision not to develop the right technologies.', 'The very first COVID-19 patient in the U. S. , a man from Snohomish County, was treated with an experimental anti-viral drug called Remdesivir. The drug was ...']"
56,"['When will a second wave of the coronavirus hit, and what will it look like?', 'Benefits vs. Costs and COVID-19, by Walter E.Williams', 'Can herd immunity help stop coronavirus? What we know now', 'Experts Say Immunity Will Play Role in Second Wave of COVID-19']['Even before the first horrific phase of the COVID-19 pandemic has run its course, scientists are worried about the second wave of the disease. It could crash ...', 'One of the first lessons in an economics class is everything has a cost. That\'s in stark contrast to lessons in the political arena where politicians talk about free ...', 'How a vaccine and herd immunity can protect humans from SARS-CoV-2.', 'While communities are still dealing with the impacts from the COVID-19 outbreak, scientists are warning to brace for a second wave of the virus. But what the ...']"
57,"['MIT researchers say they’ve identified cells targeted by coronavirus', 'MIT researchers find cells targeted by coronavirus in breakthrough for cure', 'Researchers identify cells likely targeted by Covid-19 virus']['Researchers at MIT say they\'ve identified specific cells in the body that appear to be targeted by the coronavirus, a development that could help in the search for ...', 'Researchers have pinpointed the specific cells targeted by the coronavirus — a development they hope could be helpful in the search for a cure, MIT announced ...', 'Researchers at MIT, the Ragon Institute, and the Broad Institute have helped to identify specific types of cells that appear to be the targets of the SARS-Cov-2 ...']"
58,"['Some anti-vaxxers are changing their minds because of the coronavirus pandemic', 'COVID-19 has done the impossible: It\'s made some anti-vaxxers change their minds.', 'Coronavirus forces anti-vaxxers to rethink their dangerous beliefs', 'Coronavirus is causing some anti-vaxxers to change their views | TheHill', 'Coronavirus changed some anti-vaxxers\' minds, enforced others\' beliefs - Business Insider']['Scientists are racing to produce a coronavirus vaccine in what is something of a challenge to the anti-vaccine movement. But the virus has also done something ...', 'The anti-vaxxer movement is starting to have a very negative impact on people\'s health. Their belief in the false notion that vaccines cause autism has led to a ...', 'Conspiracy theories, unproven claims, fake news, and junk science have all proliferated during the coronavirus pandemic, leading many to attack coronavirus ...', 'Vaccines are important for preventing devastating diseases like polio and measles. People who are anti-vaccines have concerns for the health effects, although ...', 'Scientists are racing to develop a COVID-19 vaccine. Some anti-vaxxers say they\'d get it, but others are doubling down on their beliefs.']"
59,"['Israeli scientist claims he is two-thirds the way to COVID-19 vaccine', 'Tel Aviv University Professor Granted US Patent for Coronavirus Vaccine Design', 'Israeli Team Designs Vaccine that Targets COVID-19\'s Biggest Weakness', 'Israeli Scientist Nabs US Patent For Coronavirus Vaccine Design | Health News', 'US Patent and Trademark Office Awards Israeli Research Team With COVID-19 Vaccine Design']['Despite claim and if successful, vaccine would take over a year to develop. It will target the virus\'s Receptor Binding Motif (RBM), a critical weak point.', 'A professor at Tel Aviv University (TAU) has been granted a patent by the United States Patent and Trademark Office (USPTO) for his innovative vaccine design ...', 'An Israeli scientist from Tel Aviv University has found a new way to target the family of coronaviruses that could potentially lead to a vaccine against COVID-19.', 'An Israeli scientist has been awarded a US patent for his innovative vaccine design for the corona family of viruses, and is on track to develop a vaccine for the ...', 'While she was in labor, one of them put out his hand, and the midwife tied a crimson thread on that hand, to signify: This one came out first. Genesis 38:28, The ...']"
60,"['This California town is testing every resident for coronavirus and antibodies', 'California town offering coronavirus testing to every resident', 'Bolinas coronavirus testing study commences', 'Bay Area town one of the first communities to test ALL residents for coronavirus and antibodies']['A remote Northern California hamlet became one of the first places in the world Monday to attempt to comprehensively test all of its residents for Covid-19 and ...', 'Researchers at the University of California, San Francisco are actively testing residents of Bolinas, rural town in western Marin County, to for the contagious virus ...', '""This will be really helpful in answering some of the big unknowns not just for Marin, but nationally,"" Marin County Public Health Officer Dr. Matt Willis said of the ...', 'All 1680 residents in the reclusive, wealthy California town of Bolinas can be tested for coronavirus for free as part of a $400k privately funded study with UC San ...']"
61,"['Las Vegas mayor won\'t give businesses social distancing guidelines for reopening: \'They better figure it out. That\'s their job\'', '‘Find out the facts afterward’: Las Vegas mayor trends after saying casinos reopen now', 'Las Vegas Mayor Carolyn Goodman Battles Anderson Cooper', 'WATCH: Mayor Goodman makes controversial remarks on city reopening, goes viral', 'Las Vegas mayor calls for city to reopen: ""We\'ve had viruses for years""']['Las Vegas Mayor Carolyn Goodman on Wednesday repeatedly called for the city\'s businesses to reopen while refusing to provide any social distancing ...', 'That\'s a modern-day survival of the fittest that you are laying out in Las Vegas,” MSNBC\'s Katy Tur said to Las Vegas Mayor Carolyn Goodman on Tuesday.', 'Las Vegas Mayor Carolyn Goodman appeared on CNN, Wednesday, for a trainwreck of an interview, during which she called for casinos and hotels to be ...', 'Recently, Nevada Gov. Steve Sisolak commented that he does not rely on ""politicians"" to decide when to reopen Las Vegas &amp; the State of Nevada. Mayor ...', 'Las Vegas Mayor Carolyn Goodman told CNN on Wednesday that she believes it\'s time to reopen the city despite the ongoing threat of the coronavirus, calling ...']"
62,"['Coronavirus antibody testing shows LA County outbreak is up to 55 times bigger than reported cases', 'New research shows LA County\'s rate of infection could be 40 times higher than number of confirmed cases', 'What can coronavirus antibody tests actually tell us?', 'Coronavirus outbreak: 43 test positive for COVID-19 at homeless shelter on Skid Row in downtown Los Angeles', 'Coronavirus cases: The latest numbers from L.A. County']['The Covid-19 outbreak in Los Angeles County could be up to 55 times bigger than the number of confirmed cases, according to new research from the ...', 'California is among the states that have been hardest hit by the coronavirus pandemic. In Los Angeles County, more than 15,000 people have tested positive for ...', 'Antibody testing for the coronavirus is starting to illuminate who may or may not have been infected with COVID-19, but it won\'t identify which people are ...', 'Dozens of staff and individuals experiencing homelessness tested positive for COVID-19 at the Union Rescue Mission, which enacted a quarantine.', 'Los Angeles County officials confirmed 1400 more coronavirus cases, 880 of which came from a backlog. The death toll rises to 663.']"
63,"['Better Coronavirus Stock: Johnson &amp; Johnson vs. Inovio Pharmaceuticals', 'Boris Johnson too \'frightened\' from coronavirus scare to ease UK lockdown', 'OPINION - Boris Johnson\'s COVID-19 mismanagement: What went wrong?', '\'Something\'s going wrong\': UK virus response under fire']['One way to gauge whether a company is part of the effort to develop coronavirus treatments or vaccines is to simply look at its stock price. While the overall stock ...', 'British Prime Minister Boris Johnson is resisting growing calls to reopen the UK from its lockdown because he is still so ""frightened"" from his own near-fatal brush ...', 'With over 16000 deaths, government faces rising criticism over delayed response to crisis, failure to ramp up testing, and persistent shortages of personal ...', 'LONDON (Reuters) - The British government came under sustained pressure over its coronavirus response on Wednesday when members of parliament got ...']"
64,"['Scientists Haven’t Found Proof The Coronavirus Escaped From A Lab In Wuhan. Trump Supporters Are Spreading The Rumor Anyway.', 'Recovered, almost: China\'s early patients unable to shed coronavirus', 'Why the Liberal Media Refused to Believe That the Wuhan Coronavirus Came from a Chinese Lab', 'Covid-19 and the Wuhan lab: What we know so far']['There\'s much about the origins of the COVID-19 outbreak that scientists are still trying to discover. But animosity between the United States and China — and a ...', 'WUHAN, China (Reuters) - Dressed in a hazmat suit, two masks and a face shield, Du Mingjun knocked on the mahogany door of a flat in a suburban district of ...', 'Almost everyone here has either covered it or mentioned it, but the liberal media\'s affinity for peddling Chinese propaganda. Why? Well, it makes Trump look ...', 'A Chinese research facility in the city of Wuhan, where the coronavirus outbreak first emerged, has attracted US attention for alleged links to the pathogen.']"
65,"['The massive global effort to develop a COVID-19 vaccine', 'Documentary examines pandemic response in both Washingtons', 'FRONTLINE\'s First Major Documentary on COVID-19 Premieres Tonight']['Science correspondent Miles O\'Brien has spent the past few weeks in Seattle, reporting on the COVID-19 pandemic and producing a film for FRONTLINE about ...', 'Miles O\'Brien talks about his new PBS Frontline documentary, ""Coronavirus Pandemic,"" focusing on the response in Washington state and Washington, D.C..', 'Coronavirus Pandemic, FRONTLINE\'s first major documentary on the coronavirus crisis, is a startling tale of two Washingtons — tracing the very different ...']"
66,"['Scientists Are Tired of Explaining Why The COVID-19 Virus Was Not Made in a Lab', 'How to disinfect clothes: Tips for coronavirus (COVID-19) prevention', 'Dr. Marc Siegel: In coronavirus fight, here\'s what CDC director says about what\'s ahead and second wave', 'Scammers are using fake coronavirus stimulus payment sites to steal your money']['It\'s a rumour that just won\'t die. When asked whether the COVID-19 virus was genetically engineered in a lab, scientists have already said ""no"" rather firmly, but ...', 'In the ongoing COVID-19 pandemic, health organizations around the globe continue to highlight the importance of disinfecting everyday items, such as clothes.', 'Get all the latest news on coronavirus and more delivered daily to your inbox. Sign up here. America wasn\'t prepared to deal with the novel coronavirus ...', 'Last month, the US Congress passed a historic $2 trillion stimulus package to help Americans fight the devastating economical effects of the coronavirus ...']"
67,"['University of Georgia working on COVID-19 virus, hopes to be ready by the end of the year', 'University of Georgia (UGA) Covid-19 vaccine shows promise in models', 'UGA professor moves closer to possible COVID-19 vaccine', 'UGA researchers close in on vaccine']['ATLANTA - We are closer to finding a vaccine for COVID-19 than we may think. Researchers at the University of Georgia are developing one that they hope to ...', 'A Covid-19 vaccine candidate developed by the University of Georgia (UGA) College of Veterinary Medicine has shown promise in test models.', 'A team of researchers at the University of Georgia College of Veterinary Medicine has developed a COVID-19 vaccine candidate that has proven successful in ...', 'Researchers at the University of Georgia say they have developed what could be a coronavirus vaccine, one they say has shown success in early test models.']"
68,"['French researchers to test nicotine patches on coronavirus patients', 'Study: Nicotine May Lower Risk of Catching Coronavirus']['Study – which stresses serious health risks of smoking – suggest substance in tobacco may lower risk of getting coronavirus.', 'According to a major Paris hospital study, tobacco could be saving smokers from catching COVID-19. Researchers suggest it could be the nicotine.']"
69,"['Study finds no benefit, higher death rate in patients taking hydroxychloroquine for Covid-19', 'US govt experts warn against virus drug combo promoted by Trump', 'Fox News falls out of love with hydroxychloroquine', 'Trump and Fox News suggest caution on hydroxychloroquine studies (after one undercuts their case)', 'Veterans Affairs Study Found Malaria Drug Led to More Deaths, No Benefits in Coronavirus Patients']['Coronavirus patients taking hydroxychloroquine, a treatment touted by President Trump, were no less likely to need mechanical ventilation and had higher ...', 'A US government expert panel has formally recommended against using a drug combination promoted by President Donald Trump to fight the coronavirus, ...', 'Fox News has fallen out of love with hydroxychloroquine. After weeks of unrelenting coverage hyping the antimalarial drug as a potential game-changing ...', 'Before Tuesday, the last time President Trump mentioned the drug hydroxychloroquine - which he had repeatedly hyped over the past month - came in a retweet ...', 'A malaria drug widely touted by President Trump for treating COVID-19 showed no benefit in an analysis of its use in US veterans hospitals.']"
